City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,dalbandin,28.8947,64.4101,34.16,7,96,5.81,PK,1682326685
212,zabol,32.25,67.25,23.97,9,85,5.91,AF,1682326686
213,broome,42.2506,-75.833,2.88,96,20,2.57,US,1682326687
214,ad dabbah,18.05,30.95,40.43,8,96,2.57,SD,1682326688
215,chonchi,-42.6128,-73.8092,2.56,92,0,0.74,CL,1682326689
216,port alberni,49.2413,-124.8028,7.91,94,100,0.45,CA,1682326690
217,taksimo,56.3444,114.8794,0.97,34,100,2.76,RU,1682326691
218,lensk,60.7253,114.9278,2.39,54,95,3.05,RU,1682326692
219,ola,59.5833,151.2833,2.86,80,100,5.93,RU,1682326693
220,chaparral,3.7232,-75.4832,18.65,87,99,1.53,CO,1682326694
221,sungai penuh,-2.0833,101.3833,21.22,95,100,0.2,ID,1682326695
222,boende,-0.2167,20.8667,25.69,69,100,1.76,CD,1682326696
223,el bauga,18.262,33.9081,40.39,11,58,4.59,SD,1682326697
224,lerwick,60.1545,-1.1494,3.0,57,87,11.4,GB,1682326698
225,ulaangom,49.9811,92.0667,9.93,24,21,3.63,MN,1682326699
226,bajos de haina,18.4154,-70.0332,23.51,100,41,2.26,DO,1682326700
227,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,64,75,3.0,RU,1682326701
228,praia da vitoria,38.7333,-27.0667,17.14,88,40,9.03,PT,1682326702
229,lusambo,-4.9667,23.45,24.94,81,100,1.54,CD,1682326703
230,haiku-pauwela,20.9219,-156.3051,22.8,87,100,0.89,US,1682326704
231,mugia,43.1041,-9.2179,16.2,96,100,6.41,ES,1682326705
232,tolanaro,-25.0319,46.9987,29.04,51,40,7.2,MG,1682326706
233,al ghayzah,16.2079,52.176,32.51,49,80,5.31,YE,1682326707
234,paraiso,9.8383,-83.8656,17.71,92,37,0.97,CR,1682326708
235,kailua-kona,19.6406,-155.9956,23.06,85,33,2.68,US,1682326709
236,ndele,8.4109,20.6473,29.71,55,100,1.43,CF,1682326710
237,hobyo,5.3505,48.5268,30.83,65,100,5.29,SO,1682326711
238,maymana,35.9214,64.7836,28.43,15,27,4.23,AF,1682326712
239,feijo,-8.1642,-70.3536,21.4,99,71,1.08,BR,1682326713
240,selfoss,63.9331,-20.9971,4.47,54,100,2.18,IS,1682326714
241,yarmouth,41.7057,-70.2286,10.0,95,75,5.81,US,1682326715
242,usakos,-22.0,15.6,25.99,47,25,7.79,NA,1682326716
243,st. john's,47.5649,-52.7093,3.21,96,100,13.41,CA,1682326717
244,accra,5.556,-0.1969,27.23,89,20,1.54,GH,1682326618
245,hamilton,39.1834,-84.5333,3.43,85,7,1.66,US,1682326569
246,ratnagiri,16.9833,73.3,30.91,55,4,6.6,IN,1682326720
247,armstrong,-32.7822,-61.6022,15.72,71,100,2.26,AR,1682326721
248,brookhaven,31.5791,-90.4407,10.45,69,94,2.73,US,1682326722
249,gorodishche,48.8045,44.4744,17.49,51,40,7.0,RU,1682326723
250,masterton,-40.9597,175.6575,6.02,84,17,1.71,NZ,1682326723
251,bessemer,33.4018,-86.9544,11.2,67,98,0.89,US,1682326725
252,dryden,49.7833,-92.7503,-5.84,79,100,2.06,CA,1682326726
253,prince rupert,54.3161,-130.3201,6.83,99,100,8.23,CA,1682326727
254,kone,-21.0595,164.8658,22.63,90,90,2.47,NC,1682326728
255,nadym,65.5333,72.5167,-3.35,87,100,12.59,RU,1682326729
256,thompson,55.7435,-97.8558,-7.91,86,0,1.54,CA,1682326730
257,badger,64.8,-147.5333,-10.0,61,100,1.79,US,1682326732
258,susuman,62.7833,148.1667,-5.11,87,100,2.43,RU,1682326733
259,ceeldheer,3.8488,47.1806,31.2,61,100,5.21,SO,1682326734
260,saint-francois,46.4154,3.9054,10.69,73,75,5.14,FR,1682326735
261,xapuri,-10.6517,-68.5044,21.26,98,94,1.19,BR,1682326736
262,tazovsky,67.4667,78.7,0.37,98,100,10.49,RU,1682326737
263,laohekou,32.3858,111.6678,8.05,93,100,2.09,CN,1682326738
264,lahad datu,5.0268,118.327,29.37,73,86,2.73,MY,1682326739
265,muang khong,14.1167,105.85,38.04,31,99,0.3,LA,1682326739
266,makurazaki,31.2667,130.3167,13.0,86,100,6.59,JP,1682326740
267,zhezqazghan,47.7833,67.7667,18.32,36,75,9.0,KZ,1682326741
268,toliara,-23.35,43.6667,25.84,65,43,5.23,MG,1682326742
269,ambodifotatra,-16.9833,49.85,27.07,79,0,4.92,MG,1682326743
270,gebeit,21.0667,36.3167,35.22,24,34,4.31,SD,1682326744
271,asadabad,34.7824,48.1185,19.97,26,34,4.34,IR,1682326745
272,zvishavane,-20.3267,30.0665,27.14,38,100,3.79,ZW,1682326746
273,straldzha,42.6,26.6833,15.02,56,5,3.96,BG,1682326747
274,frenchville,-23.3442,150.5507,23.52,57,18,6.17,AU,1682326748
275,grenaa,56.4158,10.8783,11.12,96,100,8.95,DK,1682326749
276,hiratacho,35.4333,132.8167,13.98,38,0,9.77,JP,1682326750
277,ambositra,-20.5167,47.25,22.99,52,0,4.6,MG,1682326751
278,suratgarh,29.3167,73.9,35.3,10,0,4.2,IN,1682326752
279,barra de santo antonio,-9.4047,-35.5072,24.6,83,100,3.32,BR,1682326753
280,magadan,59.5667,150.8,2.52,82,100,4.47,RU,1682326479
281,enewetak,11.3474,162.3373,26.9,84,100,8.64,MH,1682326755
282,rio preto da eva,-2.6994,-59.6997,22.24,99,85,0.99,BR,1682326756
283,sinabang,2.4803,96.3801,29.65,72,75,1.72,ID,1682326757
284,el nido,11.1858,119.3956,29.61,69,46,4.21,PH,1682326758
285,klyuchi,52.2667,79.1667,17.43,47,31,8.98,RU,1682326759
286,fray luis beltran,-39.3167,-65.7667,13.57,57,0,4.34,AR,1682326760
287,greymouth,-42.4667,171.2,9.05,76,0,1.32,NZ,1682326761
288,kisangani,0.5167,25.2,22.07,94,100,0.29,CD,1682326762
289,purpe,64.4803,76.6897,-2.54,84,100,11.56,RU,1682326763
